num,norm_time,div_time,dup_time,opt_time,data_size
1,39.2889010906,48.3150219917,39.4531300068,52.1598060131,60000
2,56.9406709671,70.4219548702,52.1563999653,28.1887590885,60000
3,57.1208150387,52.3261759281,51.2505779266,46.1563539505,60000
4,57.2471108437,46.348181963,10.5768330097,22.499849081,60000
5,52.3515529633,70.4261128902,10.6216430664,27.8205699921,60000
6,63.3689310551,69.0435960293,16.4931061268,34.0534660816,60000
7,58.3774240017,64.5571329594,10.5998661518,34.0728781223,60000
8,58.3588438034,52.3423628807,28.4818508625,63.8087530136,60000
9,57.140707016,62.9963829517,22.6800260544,64.3794848919,60000
10,45.4843869209,69.1394219398,22.4473540783,89.6774878502,60000
11,34.4338479042,87.5575678349,28.5966238976,83.1482901524,60000
12,58.3084728718,104.804986,28.0793588161,N/A,60000
13,34.2197310925,99.0440540314,52.4507660866,N/A,60000
14,58.2925388813,105.16328311,46.4696848392,N/A,60000
15,52.5986189842,105.461316109,46.4786448479,N/A,60000
16,52.400539875,112.453612804,58.3850929737,N/A,60000
17,52.4329090118,119.206511021,58.4926800728,N/A,60000
18,75.8302681446,88.9039430618,58.7021460533,N/A,60000
19,52.3935499191,131.246269941,82.9129521847,N/A,60000
20,64.5084810257,119.40116787,94.2262470722,N/A,60000
21,58.4235959053,130.44963789,64.2775130272,N/A,60000
22,58.4626920223,100.367213964,57.7554450035,N/A,60000
23,40.8410871029,143.428946018,88.8403148651,N/A,60000
24,46.2907669544,112.549983978,100.610411882,N/A,60000
25,40.1071650982,167.170001984,83.3382251263,N/A,60000
26,46.3908810616,124.022091866,100.375129938,N/A,60000
27,64.3622570038,142.25744319,88.0683269501,N/A,60000
28,46.4772560596,155.248085022,118.590579987,N/A,60000
29,39.1647341251,159.733552933,112.802289963,N/A,60000
30,64.5083298683,167.103174925,124.598596811,N/A,60000
31,51.5778660774,173.912304878,112.537338972,N/A,60000
32,46.1031310558,173.213812113,149.790563822,N/A,60000
33,51.6924250126,136.952879906,130.677246094,N/A,60000
34,57.0722780228,136.455574989,155.519141912,N/A,60000
35,28.4546067715,173.618460178,144.526720047,N/A,60000
36,58.8001129627,185.599632025,130.215572119,N/A,60000
37,63.5223710537,143.662375927,148.269336939,N/A,60000
38,58.3656921387,160.753144979,162.034367085,N/A,60000
39,51.5422978401,168.413380146,143.828675985,N/A,60000
40,51.3114368916,149.590953112,131.45023489,N/A,60000
41,52.8844089508,172.808413982,174.400466204,N/A,60000
42,70.2799010277,156.120779037,185.325778008,N/A,60000
43,46.5726840496,179.036262989,192.340224028,N/A,60000
44,42.0550861359,173.162186861,179.738274097,N/A,60000
45,46.0295808315,185.254141808,161.650837898,N/A,60000
46,76.7768070698,155.42246294,142.629594088,N/A,60000
47,46.2935039997,198.453279972,167.472098112,N/A,60000
48,57.9220108986,142.717364073,155.089607,N/A,60000
49,52.9495470524,178.746489048,154.874627829,N/A,60000
50,63.5204088688,155.209441185,185.954286098,N/A,60000
51,45.0598008633,185.443459034,192.136105776,N/A,60000
52,58.5219399929,185.202033997,155.229225159,N/A,60000
53,58.2517318726,178.864191055,178.25066781,N/A,60000
54,64.4190289974,184.993119955,148.526846886,N/A,60000
55,34.4123289585,143.328048229,191.428258181,N/A,60000
56,41.8332250118,161.720402002,138.419430971,N/A,60000
57,80.7387788296,185.535773993,185.699975014,N/A,60000
58,58.3994019032,179.485865116,192.51711297,N/A,60000
59,51.5665650368,173.393934965,191.05467701,N/A,60000
60,46.5652551651,155.655251026,185.562537193,N/A,60000
61,64.2656071186,150.034801006,167.461901188,N/A,60000
62,47.0151650906,149.629536152,166.492751837,N/A,60000
63,58.5769209862,167.034548998,143.347403049,N/A,60000
64,70.7241389751,179.071527004,179.492894888,N/A,60000
65,52.603523016,131.315962076,150.326292992,N/A,60000
66,63.5487439632,138.182693005,191.531501055,N/A,60000
67,58.0918281078,179.065982103,186.253131866,N/A,60000
68,62.8120279312,179.831815004,186.260959148,N/A,60000
69,52.6130068302,143.120053768,192.12459898,N/A,60000
70,51.7231278419,144.166370153,155.354629993,N/A,60000
71,63.2306089401,144.680732965,150.591139078,N/A,60000
72,58.2681150436,143.435796976,143.20622611,N/A,60000
73,51.6986830235,156.029445887,155.621150017,N/A,60000
74,99.6924221516,137.357984066,150.037705183,N/A,60000
75,69.9983398914,180.263939857,138.448594093,N/A,60000
76,57.476804018,156.568511009,167.472190142,N/A,60000
77,58.2871220112,173.866518021,144.176499128,N/A,60000
78,51.710641861,180.015247107,179.864600897,N/A,60000
79,46.343914032,150.460586071,156.631366014,N/A,60000
80,58.0643270016,156.446720123,186.073581934,N/A,60000
81,64.0593819618,143.982086182,187.16093111,N/A,60000
82,44.9401838779,180.560968161,161.912157059,N/A,60000
83,51.9167649746,155.585747004,180.598046064,N/A,60000
84,52.5874459743,150.652127981,156.608840942,N/A,60000
85,58.7879798412,144.244220972,180.95758605,N/A,60000
86,71.0277991295,131.556908846,180.920838118,N/A,60000
87,41.6817741394,132.210714102,174.735125065,N/A,60000
88,51.7203681469,162.249269962,150.322381973,N/A,60000
89,46.5181388855,180.096786976,186.059269905,N/A,60000
90,51.4317800999,174.508538008,186.250462055,N/A,60000
91,64.454018116,181.120716095,157.382873058,N/A,60000
92,64.2733500004,168.213595152,163.337736845,N/A,60000
93,57.2176260948,150.878264904,175.142980099,N/A,60000
94,76.625125885,132.200618982,144.922591925,N/A,60000
95,62.70399189,144.531010151,180.883797169,N/A,60000
96,51.0391969681,150.488013983,188.81338191,N/A,60000
97,52.6502480507,150.329666138,149.256464005,N/A,60000
98,62.7518789768,132.776702881,192.496930122,N/A,60000
99,51.1810748577,169.31040597,168.139690876,N/A,60000
100,58.3731439114,138.046450138,174.557512999,N/A,60000