num,interval,norm_time,opt_time,data_size
50,1,14.4532589912,9.30753111839,60000
50,2,14.6732418537,9.80028820038,60000
50,3,14.505464077,8.36232304573,60000
50,4,14.8166959286,9.7542488575,60000
50,5,15.0521140099,8.69752287865,60000
50,6,14.7173800468,9.29338097572,60000
50,7,14.6292989254,8.28008794785,60000
50,8,14.6591720581,8.80389904976,60000
50,9,14.5051569939,8.43255591393,60000
50,10,15.2327730656,9.82644510269,60000
50,11,14.6002111435,9.68111205101,60000
50,12,14.5088620186,9.77491283417,60000
50,13,14.6850640774,8.83185386658,60000
50,14,14.9036159515,9.07355999947,60000
50,15,14.7140419483,9.65004301071,60000
50,16,14.4524338245,8.83437800407,60000
50,17,14.8637988567,8.62331700325,60000
50,18,15.2514059544,8.84910511971,60000
50,19,14.4919221401,8.6112511158,60000
50,20,14.5586500168,9.83271288872,60000
50,21,14.7879159451,8.82295393944,60000
50,22,14.4540760517,9.89746689796,60000
50,23,14.5526008606,10.8124918938,60000
50,24,14.6382279396,8.99638414383,60000
50,25,14.7540268898,9.85720014572,60000
50,26,14.5653469563,9.50468802452,60000
50,27,14.5519468784,9.40496993065,60000
50,28,14.5008218288,9.11138391495,60000
50,29,15.0347049236,9.99396109581,60000
50,30,14.5784640312,9.56145906448,60000
50,31,14.7133049965,10.1569359303,60000
50,32,14.5585429668,10.9745700359,60000
50,33,14.520209074,11.1910271645,60000
50,34,14.5419700146,11.3655588627,60000
50,35,14.729888916,9.21215796471,60000
50,36,14.7755379677,10.9056789875,60000
50,37,14.7213449478,9.88252592087,60000
50,38,15.1049349308,10.3527181149,60000
50,39,14.6651029587,10.0373010635,60000
50,40,14.6227710247,9.37146806717,60000
50,41,15.8520538807,9.70775413513,60000
50,42,14.8944091797,10.670591116,60000
50,43,14.6671152115,10.7360949516,60000
50,44,14.7730491161,11.3295719624,60000
50,45,14.777960062,10.266174078,60000
50,46,14.5167651176,10.2364561558,60000
50,47,14.4526050091,10.1983568668,60000
50,48,14.4490609169,10.0746948719,60000
50,49,14.817054987,10.9328229427,60000
50,50,14.5068922043,10.2790358067,60000
50,51,14.8261909485,10.2806580067,60000
50,52,14.5032320023,11.6549711227,60000
50,53,14.5317969322,12.0762851238,60000
50,54,14.5596330166,11.6018590927,60000
50,55,14.4506750107,10.5686349869,60000
50,56,14.6838619709,10.6649041176,60000
50,57,14.8062942028,11.4209899902,60000
50,58,15.5268580914,11.1036520004,60000
50,59,14.7138609886,11.742483139,60000
50,60,14.5937638283,10.9543640614,60000
50,61,14.8710699081,10.8378958702,60000
50,62,14.4403169155,11.4632759094,60000
50,63,14.5186240673,11.3589818478,60000
50,64,14.3457570076,11.404460907,60000
50,65,14.7171239853,11.7110769749,60000
50,66,15.6411099434,10.8216669559,60000
50,67,15.0205731392,11.5636329651,60000
50,68,14.75147295,11.0885050297,60000
50,69,14.6476039886,12.436150074,60000
50,70,14.6635890007,12.0196590424,60000
50,71,14.3751008511,12.7234098911,60000
50,72,14.5958750248,11.7947981358,60000
50,73,14.8356719017,11.7339608669,60000
50,74,14.5781099796,11.5371890068,60000
50,75,15.55919981,12.7128241062,60000
50,76,14.6179661751,12.407585144,60000
50,77,14.6153850555,12.5728158951,60000
50,78,14.6242911816,12.429279089,60000
50,79,14.661080122,12.3366119862,60000
50,80,14.5602099895,11.4585299492,60000
50,81,14.5630829334,11.5740890503,60000
50,82,14.950660944,11.5748980045,60000
50,83,14.800369978,11.8586759567,60000
50,84,14.7722539902,12.3069150448,60000
50,85,14.8752241135,12.6460180283,60000
50,86,14.7910029888,12.2974801064,60000
50,87,14.6481909752,12.2244839668,60000
50,88,14.5263857841,12.9801499844,60000
50,89,14.5909180641,12.7075679302,60000
50,90,14.5337970257,12.4765310287,60000
50,91,14.76679492,12.4959490299,60000
50,92,14.56295681,12.6471440792,60000
50,93,15.0051269531,13.0392138958,60000
50,94,14.6118519306,12.7896120548,60000
50,95,15.2115449905,12.9474949837,60000
50,96,14.6175298691,12.5714979172,60000
50,97,14.4926800728,13.2201418877,60000
50,98,15.0403850079,13.2729070187,60000
50,99,15.9120550156,13.365311861,60000
50,100,14.6156179905,13.638696909,60000